rpid,mid,text,result
211430568496,255468889,真正的绝代双骄!,false
211428676784,452633,场都上不了，为什么还要上摩洛哥？[doge]上国足不行吗？,true
211428573696,452633,问题是已经出动了CIA把罗哥按在板凳上。[doge],true
211426924080,219329,[偷笑][偷笑]有一说一，对付罗哥不用CIA。出动几个摩洛哥人就行了。球盲小鬼不懂什么意思的话，去看看集锦吧。[偷笑],true
211409965872,532676056,用中文解释自己是日本人[doge],true
211404454752,393273981,香港政客还是做不到大陆政客的稳重啊,false
211402303792,336716123,又来触电过人？,true
211388002016,1874952966,爆冷的消息太多了。,false
211386740752,1162510681,这些惨案和阿伟罗有啥关系？梅罗就是被资本炒作起来的小狗。老一辈的就不提了，卡洛斯一个后卫的脚法都能暴打这俩货。同时代的，论中锋，伊布拉希莫维奇的暴力美学，苏牙既可以喂饼也能吃饼的灵活脚法，他俩能比吗？论边锋影锋，阿扎尔的全能，萨拉赫，孙兴慜边路突防的速度，内马尔的鬼魅灵动，天使的传球和远射，他俩算个啥？论组织能力，卡卡，穆勒，莫德里奇，德布劳内，格列兹曼，甚至死人272哪个不比他们强啊？他俩在神坛待那么久还心安理得？,true
211384756336,432333051,我承认我有赌的成分[脱单doge],false
211383064768,237512134,跪下[呲牙],true
211383064768,237512134,跪下[呲牙],true
211381428784,167215387,往来无白丁,false
211378502704,485998620,up说了半天转化率的问题，其实这有啥可说的，转化率反应的是前锋的射术和抗防守球员干扰能力强，本质上就是突破能力和射术最直观的反应，而更多的射门机会是来自于中场球员的拼抢球权能力和锋线的组织协调能力，都不是一回事非要讲半个视频干嘛,false
211377413776,326510877,你是真提纯，有冠军就是一己之力，没冠军就是后方问题！赢麻了[支持],true
211376484784,486352389,那能怪谁呢，谁叫你在日本搞区别对待呢，本来现在网上就反日，731的事又被提起，你撞在枪口上了，不搞你搞谁呢,true
211376187168,107027542,这都能发,false
211375871568,386447129,哟西的实力毋庸置疑，再过很多年他都是不出世的天才。可是他今年所做的事情不让我喜欢，我就是要黑他。每个人都有喜好自由，你爱哟西，哪怕他这样还爱他，这是你的自由。在我眼里，任何人的都没资格和国家这个概念相比，哪怕他是世界第一人，也没资格。这个哟西我黑一辈子,false
211375764720,75824174,哈哈哈  梅西带队专业逆风！想拿冠军只能求干爹,true
211375764720,75824174,哈哈哈  梅西带队专业逆风！想拿冠军只能求干爹,true
211375327680,386447129,智力不行，你和你美爹商量商量把华人的录取线拉到和非裔一个水平呗,true
211373446896,3494361109105087,@王者荣耀,false
211373204400,475662752,给他一瓶,false
211373204400,475662752,给他一瓶,false
211373103184,475662752,流口水,False
211373103184,475662752,流口水,False
211373001824,383631783,你小子,False
211373001824,383631783,你小子,False
211371934416,15162788,既然梅西这么菜，为啥还要用，直接坐板凳去吧,True
211370733312,382982569,天天七场五点七场五点，你倒是说出个五六七来啊，哪个点球判罚有问题，为什么有问题？你能说出来吗？麻烦去查查资料，天天喊七场五点这种水军也太好当了，门路给我介绍介绍呗,False
211369741584,357256589,简中讨厌梅西不代表其他地区讨厌罗 我从不发哟西 因为觉得发哟西有点像喜欢喊阿伟罗的低智商人群 不过只是有点 还赶不上,True
211369768416,261703586,其实就是足球也非常卷！现在有一个人不防守的球队 整个足坛都估计只有那么一个人有资格了！,False
211369366608,176272739,梅西的粉丝跟他本人一样，永远打不了逆风局,False
211369366608,176272739,梅西的粉丝跟他本人一样，永远打不了逆风局,False
211368695008,351535581, 巅峰C罗全能边锋模版球员，巅峰阿扎尔我个人更倾向小体格前腰模版（稀有的小体格对抗能力强）,False
211368695008,351535581, 巅峰C罗全能边锋模版球员，巅峰阿扎尔我个人更倾向小体格前腰模版（稀有的小体格对抗能力强）,False
211367775344,44240089,球王这个词就是为梅西而生的，梅西可以说是全身从上到下都与球息息相关，甚至球王都不足以形容梅西的球性，应该说是球神，梅西可以说是人球合一，梅西就是足球本球，球就是梅西，而梅西亦是个球,False
211367775344,44240089,球王这个词就是为梅西而生的，梅西可以说是全身从上到下都与球息息相关，甚至球王都不足以形容梅西的球性，应该说是球神，梅西可以说是人球合一，梅西就是足球本球，球就是梅西，而梅西亦是个球,False
211366790784,10818535,在巴黎，梅西和内马尔还打过双后腰呢[喜极而泣],False
211364683728,492321524,就算对方进攻，梅西也会至少带走对方一个防守队员的吧[脸红],False
211364664336,3494361509661497,回复 :对于一些不该他得到的荣誉，他好像总是这么说的,False
211364471632,3494361509661497,这句话让我想起梅西酸罗的08年金球说的话,False
211364219760,630848489,哈哈你这真是搞笑了，那场比赛C罗受伤了下场不是很正常，而且开局才12十分钟半场都没结束你也说了是零比零，这怎么得出C罗在场上就赢不了的结论的，梅西那是踢完全场的一比零而且踢飞了一个单刀，另一场没上。     你要不要再看一下你自己说的话，你自己觉得有逻辑吗,False
211363241616,3493095706462549,加拿大算个几把，吆西个大网红差不多得了,True
211363239648,107595198,🤣👉🤡,False
211363239648,107595198,🤣👉🤡,False
211363011552,47589826,🤣👉🤡,False
211363011552,47589826,🤣👉🤡,False
211362723088,391618671,螺处是这样的,False
211362159584,13966497,最夸张的是，有弹幕说历史级只有梅西和小白，我真的佩服到底是什么成分啊，阿萨塔这么恐怖的吗，不懂能不能别装？？？？,True
211361962752,641373133,这就是你打人家4比0的原因？,True
211361099248,904155,阿诺德表示不服[doge],False
211361219120,65348730,真就是墙倒众人推呗,False
211360717808,188165054,照你的控制变量，欧洲杯决赛阿韦罗没上担架之前0-0，上了担架之后葡萄牙1-0夺冠，阿韦罗是不是纯纯副作用,False
211359194000,366932335,口罩事件。七月份就取消了,False
211359085696,105765505,为啥取消[脱单doge],False
211358535456,38251769,为什么骂梅西 咱们又扣帽子了吗,True
211358351712,226154975,"说了这么多，我也不是啥罗迷或者梅迷，我觉得两个人都是很优秀的球员（梅的荣誉强于罗也是事实），在足球方面我更欣赏梅西，但这不代表我认为他上个月刚得的这个世界足球先生是合理的（在明确说世界杯不在参评范围内的情况下，我觉得他不配）。场下的话这俩都有黑点，所以我迷不了他们。
我只是作为一个普通的足球观众来谈一谈我对足球的理解，我确实没有很多人那么专业（毕竟我只是看了八九年球，很少自己踢球，我主要的运动是游泳和三千米），但我还是觉得先扣帽子，立场先行本身就是一种很不专业的思维，这不是一种健康的讨论问题的方式",False
211358351712,226154975,"说了这么多，我也不是啥罗迷或者梅迷，我觉得两个人都是很优秀的球员（梅的荣誉强于罗也是事实），在足球方面我更欣赏梅西，但这不代表我认为他上个月刚得的这个世界足球先生是合理的（在明确说世界杯不在参评范围内的情况下，我觉得他不配）。场下的话这俩都有黑点，所以我迷不了他们。
我只是作为一个普通的足球观众来谈一谈我对足球的理解，我确实没有很多人那么专业（毕竟我只是看了八九年球，很少自己踢球，我主要的运动是游泳和三千米），但我还是觉得先扣帽子，立场先行本身就是一种很不专业的思维，这不是一种健康的讨论问题的方式",False
211358108512,111875064,克洛普带过梅西？？？,False
211358029888,204969621,呦西联赛更厉害吧。但是欧冠强强对话的时候确实c罗更强。游戏欧冠八连逆,False
211357131552,226154975,"哦我之前的表达不严谨，我应该说一切传统的体育竞技项目都需要很重视这两个指标，即创造机会能力和机会转化率。
我看弹幕里有人提到电子竞技里的“伤害转化率”，我认为这和足球的射门转化率差别还是挺大的，因为足球又不存在站前面输出然后暴毙这种现象（）不是说谁伤转高就要一定以谁为绝对核心来打。但足球的射门转化率高实打实的就是证明你一锤定音的能力强，给这样的选手（比如巅峰c罗）无限开火权是合理的，而给把握机会能力差的球员（二进宫曼联的c罗）以无限开火权，最终结果必然是影响整个团队的发挥",False
211357131552,226154975,"哦我之前的表达不严谨，我应该说一切传统的体育竞技项目都需要很重视这两个指标，即创造机会能力和机会转化率。
我看弹幕里有人提到电子竞技里的“伤害转化率”，我认为这和足球的射门转化率差别还是挺大的，因为足球又不存在站前面输出然后暴毙这种现象（）不是说谁伤转高就要一定以谁为绝对核心来打。但足球的射门转化率高实打实的就是证明你一锤定音的能力强，给这样的选手（比如巅峰c罗）无限开火权是合理的，而给把握机会能力差的球员（二进宫曼联的c罗）以无限开火权，最终结果必然是影响整个团队的发挥",False
211356336368,226154975,"我觉得是个人都能看得懂，不光足球，这是一切竞技项目最最基础的概念了。
当然如果懂装不懂那就是另一个概念了。我也不是来对线的，这种人我就不想理了",False
211356336368,226154975,"我觉得是个人都能看得懂，不光足球，这是一切竞技项目最最基础的概念了。
当然如果懂装不懂那就是另一个概念了。我也不是来对线的，这种人我就不想理了",False
211355969712,366932335,什么球盲，8-2那年不是取消了?,True
211355609504,1692919852,不操作全给哟西偷了,True
211355059680,476146981,最让人看不起的就是你这种人,True
211354779248,107595198,诗儒其侏,False
211354779248,107595198,诗儒其侏,True
211354461712,3494358472984591,克洛普管你梅西在中国的事情？梅西强还不能吹了？,True
211354386624,345001403,你真的是若只一个,True
211354288048,345001403,你真的是若只一个,False
